Movie	Mean Rating	Rating Count	Cold Index
人间的条件(第一、二部)	8.7	1986	40.787116594416396
青春之旅 OAD - unwritten -	8.3	939	40.778704168543776
盖茨堡之役	8.4	1581	40.772190199210115
大街上的商店	8.4	1582	40.76833218824865
红柿子	8.9	2303	40.76740473649467
逃离索比堡	8.5	1716	40.75167888423032
三个邻居	8.0	1137	40.746303593552454
莎乐美	8.3	938	40.74130196510184
魔笛	8.0	1139	40.73609111434458
反叛的鲁路修特别篇：暗黑的背叛	8.9	2316	40.731015755676864
海猿	7.9	993	40.726939646044805
双城记	8.3	937	40.70389333435816
卡米诺	8.0	1146	40.70048811962963
笔中情	8.5	1731	40.69794416408898
天外来客	8.1	1251	40.69346048138239
火宅之人	8.2	1362	40.68950891550237
沃特希普高地	8.1	1252	40.68875929422593
勒克瑙之花	8.1	1253	40.684061860512706
不沉的太阳	7.9	1053	40.67738637332327
华盛顿城堡的圣徒	8.7	886	40.65663606695079
女驸马	8.8	874	40.64315221971295
七宗罪	8.4	1615	40.64236734130372
烽火赤焰万里情	8.0	1158	40.6399573725668
美国鼠谭	7.9	1060	40.639366508218394
四叠半神话大系：地面潜航艇，前往南极	8.3	1492	40.63611645215145
悬崖山庄奇案	8.3	1493	40.63207704972722
吝啬鬼	8.3	1494	40.628040351958326
不设限通缉	8.6	1890	40.627797337847504
周六夜现场：艾玛·斯通/酷玩乐队	8.1	1266	40.623334080110716
古宅迷踪	8.1	1268	40.61404672946357
战场上的小人球	8.1	1271	40.60014313398989
无人之境	8.4	1629	40.58970350149315
女大不中留	7.9	1070	40.58548570920967
妄想学生会OAD	8.3	1505	40.58381415374742
春色一箩筐	8.2	1387	40.58117250476481
力争上游	8.3	1507	40.57580776758717
钢之炼金术师：失明的炼金术师	8.6	1920	40.52942181476889
小不列颠：现场版	9.0	2564	40.52365174534777
不夜城	8.1	1289	40.51740455373299
情如物证	8.3	932	40.51675353051893
遗失的世界	8.6	1931	40.493735463375366
皇家俱乐部	8.1	1297	40.48100205299156
反斗神偷	7.9	986	40.4798673088549
善意的谎言	8.4	1660	40.47468351399551
